Date,Open,High,Low,Close,Volume,Change
2015-09-04,385170.0,391605,384015,385040,3175488,-0.8948023345759841
2015-09-07,389170.0,388080,382590,385745,2662133,0.0696626115638095
2015-09-08,386890.0,389940,381445,382430,4385453,-0.394194869824864
2015-09-09,391090.0,390360,385445,388545,3674306,0.8827154556860979
2015-09-10,392845.0,394445,389835,393285,4055159,0.5131596016505792
2015-09-11,394630.0,394595,391930,393720,4188723,0.0750161976530769
2015-09-14,394570.0,396660,391330,393675,4094690,-0.0698023192930555
2015-09-15,397535.0,395415,393045,394295,3794577,0.0740762789807451
2015-09-16,400075.0,399980,396990,399275,3921459,0.5800631455327363
2015-09-17,397085.0,401350,396090,396905,3326534,-0.1487887718153554
2015-09-18,400375.0,401500,396410,400545,3079053,0.3736610404281262
2015-09-21,399815.0,401500,398045,399280,4168198,-0.1747925837388954
2015-09-22,399390.0,401445,398210,399945,3825780,0.1201772895336701
2015-09-23,398190.0,400835,396515,397660,3857831,-0.3098581066361574
2015-09-24,397500.0,399320,396830,398060,3334867,0.0199428703747455
2015-09-25,394465.0,398860,394700,395640,3880550,-0.2563809593087244
2015-09-30,399645.0,396980,393275,395940,3550517,-0.0236500898700874
2015-10-01,400670.0,400590,398270,399490,3087416,0.4316498405475307
2015-10-02,401190.0,401835,399815,400630,4075472,0.08479214678894
2015-10-05,402090.0,403105,400370,401850,2641218,0.1690703390372721
2015-10-06,399485.0,402640,399680,400565,2832082,-0.0864636478637763
2015-10-07,397250.0,399900,395865,396345,3171890,-0.3816647236362371
2015-10-08,396245.0,398420,393920,395760,2829086,-0.0341439145606006
2015-10-12,395905.0,397625,394225,395385,3560341,0.0444418726697996
2015-10-13,394405.0,397385,393430,395470,2444406,-0.0300913448021945
2015-10-14,394430.0,395185,392950,393450,2524823,-0.2248955001385753
2015-10-15,396160.0,396865,393700,395575,2621322,0.2534700086340715
2015-10-16,397120.0,397555,395375,396685,2978013,0.1515476466205805
2015-10-19,397170.0,398490,395575,396720,3600177,0.0195398168510856
2015-10-20,400605.0,398720,396575,398305,2941435,0.143525960406178
2015-10-21,397845.0,401490,398970,399620,3362835,0.1485769327297563
2015-10-22,398960.0,399075,395895,396515,2997519,-0.3674999059598315
2015-10-23,400150.0,403175,397690,401700,2849362,0.5682346757536906
2015-10-26,400975.0,401280,399365,400030,2765770,-0.0850200957928735
2015-10-27,399855.0,401670,399655,400310,3241134,-0.0229681708007323
2015-10-28,400330.0,403915,399065,402995,2444835,0.3056464102638376
2015-10-29,448430.0,454805,448710,453575,1944556,0.1206986666769629
2015-10-30,450585.0,449470,446050,447245,5152015,-0.5225804712113016
2015-11-02,449465.0,451270,446300,447385,2416520,0.0089864420082031
2015-11-03,451610.0,451195,447995,450010,7137239,0.2804413371701352
2015-11-04,451745.0,455795,449585,454280,3322014,0.5008388981985818
2015-11-05,455580.0,452940,449800,451200,4363532,-0.2590698896083196
2015-11-06,455230.0,459440,453670,457485,5386423,0.5851613320759634
2015-11-09,447840.0,456160,448115,449305,3945749,-0.7768206638789219
2015-11-10,445520.0,449685,443040,445335,3692873,-0.4527101398426797
2015-11-11,446415.0,447270,443490,445565,4505539,0.016446578212753
2015-11-12,444730.0,448095,445345,446550,4953339,0.0851953497855543
2015-11-13,442950.0,446865,443090,445765,5513298,-0.1431042866352913
2015-11-16,446445.0,445875,441475,443615,4781682,-0.2761426719640838
2015-11-17,448230.0,448605,444640,447300,7367069,0.4148971041671937
2015-11-18,448955.0,450720,445990,448115,5136539,0.0370215383249976
2015-11-19,450285.0,451520,446990,450025,8216131,0.2491252567680498
2015-11-20,453200.0,452450,449280,451510,5965193,0.1679223469292603
2015-11-23,455795.0,456460,452290,455440,6388574,0.3557778218007361
2015-11-24,456130.0,457570,454200,456125,6059297,0.1082802443303424
2015-11-25,456215.0,457565,453965,454795,7941324,-0.0784716942160796
2015-11-26,456665.0,457955,454700,456220,6098905,0.1580520153562917
2015-11-27,454500.0,458320,454510,456175,7325351,-0.0591127389154876
2015-11-30,455125.0,455590,451320,453170,7238996,-0.3770591979974481
2015-12-01,456360.0,457520,453325,455685,8389008,0.296593624910254
2015-12-02,453280.0,457655,454230,455230,6904448,-0.0532623565876107
2015-12-03,450470.0,455155,451155,453330,5823696,-0.2227096470777997
2015-12-04,452435.0,452505,449395,450865,5299302,-0.2345165915005434
2015-12-07,449730.0,453210,448815,450275,5607223,-0.1265570756239439
2015-12-08,448535.0,450970,446415,447620,4908606,-0.3759266669654465
2015-12-09,447145.0,449670,445780,446935,6556398,-0.0645053496337519
2015-12-10,593490.0,595415,588590,592770,5148781,-0.2379926312621059
2015-12-11,586915.0,594380,590380,591225,4916632,-0.1975496938971681
2015-12-14,586880.0,589370,584195,585835,2987959,-0.6653831125820789
2015-12-15,589920.0,587880,584065,585735,7320864,0.0144323451893466
2015-12-16,595595.0,592715,588530,591405,6237516,0.6720365952598001
2015-12-17,593715.0,600695,593115,595395,6072032,0.3630540415560265
2015-12-18,594785.0,597255,591980,595770,4698908,0.0388525717232536
2015-12-21,596350.0,597870,592510,594620,5924116,-0.1210727998538555
2015-12-22,597735.0,597590,593135,595110,6556036,0.0711889713627384
2015-12-23,597965.0,599355,595905,596975,3924492,0.2091978967330102
2015-12-24,603710.0,609460,605250,606155,4536710,-0.0236935993500951
2015-12-28,602545.0,605505,600460,602375,5936629,-0.3973267669021174
2015-12-29,607900.0,607130,601365,606375,4555769,0.3646792567601793
2015-12-30,604350.0,609540,606480,607630,4377652,0.1556770565028136
2016-01-04,601040.0,607255,600520,602390,3739075,-0.5602170213048491
2016-01-05,604810.0,604700,598915,602510,4103660,-0.0601415601680061
2016-01-06,606020.0,609935,601105,606930,3927270,0.3827167719266652
2016-01-07,599135.0,609300,599840,603205,3867265,-0.6549086761704106
2016-01-08,601220.0,604740,596520,602825,2604923,0.014651559098564
2016-01-11,600915.0,604705,598155,599920,1912553,-0.4391189730970984
2016-01-12,603025.0,603310,598095,600670,4847670,-0.1185828664723626
2016-01-13,600085.0,606840,601610,605370,4259567,0.5635048247476845
2016-01-14,603510.0,603000,597090,600315,2960226,-0.6382273686448654
2016-01-15,599960.0,605575,597765,599520,3970352,-0.0521003881792247
2016-01-18,600215.0,605245,595665,601120,18116671,-0.069949502474045
2016-01-19,599990.0,603390,596835,600550,4892599,-0.0004059622012388
